語句,読み,意味,詳細解説,関連事項,関連分野,種別,source,grade
氏姓制度,しせいせいど,古代の身分制度,氏姓制度は古代の身分制度。氏(ウジ)と姓(カバネ)。氏は血縁集団、姓は朝廷から与えられた称号(臣・連・君など)。豪族の地位を示す。,氏と姓|血縁集団|臣連君|豪族地位,歴史-古代,制度概念,,1
聖徳太子,しょうとくたいし,飛鳥時代の摂政,聖徳太子は飛鳥時代の摂政。推古天皇を補佐。十七条憲法制定。冠位十二階制定。遣隋使派遣(小野妹子)。法隆寺建立。,推古摂政|十七条憲法|冠位十二階|遣隋使,歴史-古代,人物名,,1
推古天皇,すいこてんのう,初の女性天皇,推古天皇は日本初の女性天皇。飛鳥時代。聖徳太子が摂政として補佐。592年即位。蘇我馬子とともに政治。,初女性天皇|592年|聖徳太子摂政|蘇我馬子,歴史-古代,人物名,,1
蘇我馬子,そがのうまこ,飛鳥時代の有力豪族,蘇我馬子は飛鳥時代の有力豪族。推古天皇・聖徳太子とともに政治。仏教を保護。物部氏を滅ぼす。法興寺(飛鳥寺)建立。,有力豪族|仏教保護|物部滅亡|飛鳥寺,歴史-古代,人物名,,1
蘇我入鹿,そがのいるか,大化の改新で滅ぼされた人物,蘇我入鹿は蘇我氏の全盛期の人物。専横な政治。645年に中大兄皇子・中臣鎌足に暗殺される(乙巳の変)。大化の改新のきっかけ。,蘇我氏|645年暗殺|乙巳の変|大化改新,歴史-古代,人物名,,1
中大兄皇子,なかのおおえのおうじ,大化の改新の中心人物,中大兄皇子は大化の改新の中心人物。後の天智天皇。中臣鎌足とともに蘇我入鹿を討つ。白村江の戦いで敗れる。近江大津宮に遷都。,天智天皇|蘇我討伐|白村江|近江,歴史-古代,人物名,,1
中臣鎌足,なかとみのかまたり,大化の改新の功労者,中臣鎌足は大化の改新の功労者。中大兄皇子とともに蘇我入鹿を討つ。藤原氏の祖。死の直前に藤原姓を賜る。,大化改新|蘇我討伐|藤原氏祖|藤原姓,歴史-古代,人物名,,1
大化の改新,たいかのかいしん,645年の政治改革,大化の改新は645年の政治改革。中大兄皇子・中臣鎌足が蘇我入鹿を討つ(乙巳の変)。公地公民・班田収授法。中央集権化。,645年|蘇我討伐|公地公民|中央集権,歴史-古代,出来事,,1
乙巳の変,いっしのへん,645年のクーデター,乙巳の変は645年に中大兄皇子・中臣鎌足が蘇我入鹿を暗殺した事件。大化の改新の始まり。蘇我氏の専横を打破。,645年|入鹿暗殺|大化改新|蘇我打破,歴史-古代,出来事,,1
公地公民,こうちこうみん,土地と人民は天皇のもの,公地公民は土地と人民はすべて天皇(公)のものとする原則。大化の改新で宣言。私有地・私有民を廃止。律令制度の基礎。,天皇のもの|大化改新|私有廃止|律令基礎,歴史-古代,制度概念,,1
班田収授法,はんでんしゅうじゅほう,口分田を与える制度,班田収授法は6歳以上の人民に口分田を与える制度。大化の改新。死後は国に返す(公地公民)。律令制度。,口分田|6歳以上|死後返却|律令,歴史-古代,制度概念,,1
律令制度,りつりょうせいど,律令に基づく制度,律令制度は律令(律は刑法、令は行政法)に基づく制度。唐を手本。中央集権。大宝律令(701年)・養老律令(718年)。,律刑法令行政|唐手本|中央集権|大宝養老,歴史-古代,制度概念,,1
大宝律令,たいほうりつりょう,701年の律令,大宝律令は701年に制定された日本初の本格的律令。藤原不比等らが編纂。律令国家の法体系。養老律令に引き継がれる。,701年|初本格|藤原不比等|法体系,歴史-古代,制度概念,,1
養老律令,ようろうりつりょう,718年の律令,養老律令は718年に制定された律令。藤原不比等が編纂。大宝律令を修正。757年施行。律令制度の完成。,718年|藤原不比等|大宝修正|完成,歴史-古代,制度概念,,1
租庸調,そようちょう,律令時代の税,租庸調は律令時代の税。租は稲(収穫の約3%)、庸は労役の代わりの布、調は地方特産物。重い負担。人民の苦しみ。,律令税|稲布特産物|約3%|重負担,歴史-古代,制度概念,,1
防人,さきもり,九州北部の兵士,防人は九州北部の警備に当たった兵士。東国の農民が徴発された。3年間の任期。往復の費用も自己負担。『万葉集』に歌が残る。,九州警備|東国農民|3年|万葉集,歴史-古代,その他,,1
白村江の戦い,はくすきのえのたたかい,663年の敗戦,白村江の戦いは663年の戦い。日本・百済連合軍が唐・新羅連合軍に敗れる。朝鮮半島から撤退。大宰府に水城・防人を配置。,663年|百済支援|唐新羅|敗戦,歴史-古代,出来事,,1
壬申の乱,じんしんのらん,672年の皇位継承戦争,壬申の乱は672年の皇位継承戦争。大海人皇子が大友皇子を破る。大海人皇子が天武天皇に即位。古代最大の内乱。,672年|皇位継承|大海人勝利|天武天皇,歴史-古代,出来事,,1
天武天皇,てんむてんのう,壬申の乱の勝者,天武天皇は壬申の乱の勝者(大海人皇子)。672年即位。天皇中心の政治強化。『古事記』『日本書紀』編纂を命じる。,壬申勝者|672年|天皇中心|古事記日本書紀,歴史-古代,人物名,,1
持統天皇,じとうてんのう,藤原京に遷都した女性天皇,持統天皇は天武天皇の后。694年に藤原京に遷都。律令制度整備。万葉集に多くの歌。女性天皇。,天武后|694年藤原京|律令整備|女性天皇,歴史-古代,人物名,,1
藤原京,ふじわらきょう,694年の都,藤原京は694年に遷都された都。奈良県橿原市。持統天皇。日本初の本格的都城。平城京に移るまでの16年間の都。,694年|橿原|持統天皇|16年間,歴史-古代,地名,,1
古事記,こじき,日本最古の歴史書,古事記は日本最古の歴史書。712年完成。天武天皇の命で編纂。稗田阿礼が暗唱、太安万侶が記録。神話から推古天皇まで。,712年|最古|稗田太安万侶|神話-推古,歴史-古代,その他,,1
日本書紀,にほんしょき,日本最初の正史,日本書紀は日本最初の正史(国家が編纂した歴史書)。720年完成。神代から持統天皇まで。漢文で記述。六国史の第一。,720年|正史|神代-持統|漢文,歴史-古代,その他,,1
万葉集,まんようしゅう,日本最古の和歌集,万葉集は日本最古の和歌集。8世紀後半成立。約4500首。天皇から庶民まで。防人の歌。大伴家持が編者。,最古和歌集|4500首|天皇-庶民|大伴家持,歴史-古代,,1|2|3
大伴家持,おおとものやかもち,万葉集の編者,大伴家持は万葉集の編者。奈良時代の歌人。越中国守。万葉集に最多の479首収録。「春の苑」の歌で有名。,万葉編者|越中|479首|春の苑,歴史-古代,人物名,,1
天平文化,てんぴょうぶんか,奈良時代の文化,天平文化は奈良時代の文化。聖武天皇の時代。仏教文化。唐の影響。東大寺・正倉院・古事記・日本書紀・万葉集。国際色豊か。,奈良聖武|仏教|唐影響|国際色,歴史-古代,その他,,1
正倉院,しょうそういん,東大寺の宝物庫,正倉院は東大寺の宝物庫。聖武天皇の遺品など約9000点。天平文化の宝庫。シルクロードの終点。校倉造。,東大寺|9000点|天平宝庫|校倉造,歴史-古代,,1|2|3
唐招提寺,とうしょうだいじ,鑑真が開いた寺,唐招提寺は鑑真が開いた寺。奈良市。759年創建。鑑真像(国宝)。金堂(国宝)。世界遺産。,鑑真|759年|奈良|世界遺産,歴史-古代,その他,,1
薬師寺,やくしじ,奈良の寺,薬師寺は奈良の寺。680年創建。東塔(国宝)。薬師三尊像(国宝)。天武天皇が皇后の病気平癒を祈願して建立。世界遺産。,680年|東塔|薬師三尊|世界遺産,歴史-古代,その他,,1
興福寺,こうふくじ,藤原氏の氏寺,興福寺は藤原氏の氏寺。奈良。五重塔・阿修羅像(国宝)。藤原鎌足の病気平癒を祈願して創建。世界遺産。,藤原氏寺|五重塔|阿修羅|世界遺産,歴史-古代,その他,,1
阿修羅像,あしゅらぞう,興福寺の仏像,阿修羅像は興福寺の仏像。8世紀。国宝。三面六臂。少年のような美しい顔。天平彫刻の傑作。,興福寺|8世紀|三面六臂|天平傑作,歴史-古代,その他,,1
東寺,とうじ,京都の寺,東寺は京都の寺。796年創建。空海が開く。真言宗の総本山。五重塔(日本最高55m)。立体曼荼羅。世界遺産。,796年|空海|五重塔55m|世界遺産,歴史-古代,その他,,1
国分寺・国分尼寺,こくぶんじこくぶんにじ,各国に建てた寺,国分寺・国分尼寺は聖武天皇が各国に建てた寺。鎮護国家。国分寺(男僧)と国分尼寺(女僧)。東大寺が総国分寺。,聖武天皇|各国|鎮護国家|東大寺総寺,歴史-古代,その他,,1
荘園,しょうえん,貴族・寺社の私有地,荘園は貴族・寺社の私有地。平安時代に増加。税を免除される(不輸の権)。警察権も持つ(不入の権)。公地公民制の崩壊。,貴族寺社|私有地|不輸不入|公地崩壊,歴史-古代,制度概念,,1
武士,ぶし,武芸を職業とする人,武士は武芸を職業とする人。平安時代に台頭。地方の治安維持・荘園の警護。源氏・平氏が有力。やがて政治権力を握る。,武芸職業|平安台頭|源平|政治権力,歴史-古代,その他,,1
源氏,げんじ,清和天皇の子孫,源氏は清和天皇の子孫を中心とする武士団。源義家・義朝・頼朝・義経など。鎌倉幕府を開く。平氏と対立。,清和天皇|武士団|頼朝義経|鎌倉幕府,歴史-古代,その他,,1
平氏,へいし,桓武天皇の子孫,平氏は桓武天皇の子孫を中心とする武士団。平将門・清盛など。一時は政権を握る(平氏政権)。源氏に滅ぼされる。,桓武天皇|武士団|清盛|源氏に滅亡,歴史-古代,その他,,1
源義家,みなもとのよしいえ,平安時代の武将,源義家は平安時代の武将。八幡太郎。前九年の役・後三年の役で活躍。武士の棟梁として名声。源頼朝の祖先。,八幡太郎|前九年後三年|武士棟梁|頼朝祖先,歴史-古代,人物名,,1
平清盛,たいらのきよもり,平氏政権の樹立者,平清盛は平氏政権の樹立者。保元の乱・平治の乱で勝利。1167年に武士初の太政大臣。娘を天皇の后にし、権勢を握る。厳島神社を保護。,1167年|太政大臣|平氏政権|厳島神社,歴史-古代,人物名,,1
平家物語,へいけものがたり,平氏の栄枯盛衰を描いた物語,平家物語は平氏の栄枯盛衰を描いた軍記物語。鎌倉時代成立。「祇園精舎の鐘の声、諸行無常の響きあり」で始まる。琵琶法師が語る。無常観。,平氏栄枯|祇園精舎|諸行無常|琵琶法師,歴史-中世,その他,,2
鎌倉幕府,かまくらばくふ,源頼朝が開いた幕府,鎌倉幕府は源頼朝が開いた幕府。1185年(守護・地頭設置)または1192年(征夷大将軍任命)成立。日本初の武家政権。1333年滅亡。,源頼朝|1185-1192|初武家政権|1333滅亡,歴史-中世,制度概念,,2
征夷大将軍,せいいたいしょうぐん,幕府の最高職,征夷大将軍は幕府の最高職。略して将軍。源頼朝が1192年に任命される。武家の棟梁。天皇から任命される形式。,幕府最高職|源頼朝1192|武家棟梁|天皇任命,歴史-中世,制度概念,,2
鎌倉,かまくら,鎌倉幕府の本拠地,鎌倉は鎌倉幕府の本拠地。神奈川県。源頼朝が開く。武家の都。鶴岡八幡宮。三方を山、一方を海に囲まれた要害の地。,神奈川|源頼朝|鶴岡八幡宮|要害,歴史-中世,地名,,2
鶴岡八幡宮,つるおかはちまんぐう,鎌倉の神社,鶴岡八幡宮は鎌倉の神社。源頼朝が整備。武士の守護神・八幡神を祀る。源氏の氏神。鎌倉幕府の中心的存在。,鎌倉|源頼朝|八幡神|源氏氏神,歴史-中世,その他,,2
御家人,ごけにん,将軍と主従関係を結んだ武士,御家人は将軍と主従関係(御恩と奉公)を結んだ武士。将軍から土地(御恩)をもらい、戦で働く(奉公)。封建制度。,将軍主従|御恩奉公|封建制度|武士,歴史-中世,制度概念,,2
御恩と奉公,ごおんとほうこう,将軍と御家人の関係,御恩と奉公は将軍と御家人の関係。御恩は土地(領地)の保障、奉公は軍役・警備。封建制度の基礎。双方向の義務。,将軍御家人|土地軍役|封建基礎|双方向,歴史-中世,制度概念,,2
封建制度,ほうけんせいど,主従関係に基づく制度,封建制度は主従関係に基づく政治・社会制度。土地を媒介。ヨーロッパの中世、日本の中世~近世。御恩と奉公。ピラミッド構造。,主従関係|土地媒介|御恩奉公|ピラミッド,歴史-中世,制度概念,,2
鎌倉文化,かまくらぶんか,鎌倉時代の文化,鎌倉文化は鎌倉時代の文化。武士の気風。力強く写実的。東大寺南大門・金剛力士像・新古今和歌集・平家物語・方丈記・徒然草。鎌倉新仏教。,武士気風|力強写実|運慶快慶|新仏教,歴史-中世,その他,,2
武家諸法度,ぶけしょはっと,武士の法律,武家諸法度は武士を統制する法律。1615年に徳川家康が制定。大名の城の修理や結婚を制限。参勤交代を義務化(1635年)。幕藩体制の基礎。,1615年|家康|大名統制|参勤交代,歴史-近世,制度概念,,2
参勤交代,さんきんこうたい,大名が江戸と領地を往復する制度,参勤交代は大名が江戸と領地を1年ごとに往復する制度。1635年に制度化。妻子は江戸に人質。大名の財力を削る。江戸の発展に寄与。,1635年|1年往復|妻子人質|財力削減,歴史-近世,制度概念,,2
鎖国,さこく,外国との交流を制限した政策,鎖国は外国との交流を制限した政策。1639年にポルトガル船来航禁止で完成。オランダ・中国のみ長崎で貿易。キリスト教禁止。約200年間。,1639年|長崎のみ|オランダ中国|約200年,歴史-近世,制度概念,,2
長崎,ながさき,鎖国時代の貿易港,長崎は鎖国時代の唯一の貿易港。出島でオランダと貿易。唐人屋敷で中国と貿易。西洋文化の窓口。蘭学の中心地。,唯一貿易港|出島唐人屋敷|オランダ中国|蘭学,歴史-近世,地名,,2
出島,でじま,長崎の人工島,出島は長崎の人工島。1636年築造。オランダ商館。鎖国時代の西洋との唯一の接点。西洋文化流入の窓口。現在は復元整備。,1636年|人工島|オランダ商館|西洋窓口,歴史-近世,その他,,2
キリシタン禁教,きりしたんきんきょう,キリスト教の禁止,キリシタン禁教はキリスト教を禁止した政策。1612年に徳川家康が始める。宣教師追放・信徒迫害。踏み絵で発見。島原の乱後に完全禁止。,1612年|家康|宣教師追放|踏絵,歴史-近世,制度概念,,2
島原の乱,しまばらのらん,1637年の一揆,島原の乱は1637年の一揆。島原(長崎県)・天草(熊本県)のキリシタン農民が蜂起。天草四郎が指導。幕府軍に鎮圧される。約3万7000人が犠牲。,1637年|キリシタン|天草四郎|3万7千犠牲,歴史-近世,,1|2|3
天草四郎,あまくさしろう,島原の乱の指導者,天草四郎は島原の乱の指導者。本名は益田時貞。16歳。カリスマ的指導者。原城に籠城。幕府軍に敗れ戦死。,島原指導|益田時貞|16歳|原城戦死,歴史-近世,人物名,,2
士農工商,しのうこうしょう,江戸時代の身分制度,士農工商は江戸時代の身分制度。武士・農民・職人・商人の順。実際は農工商の区別は曖昧。その下に穢多・非人(身分外)。差別制度。,武農工商|江戸身分|曖昧|差別,歴史-近世,制度概念,,2
本百姓,ほんびゃくしょう,自分の土地を持つ農民,本百姓は自分の土地を持つ農民。江戸時代の村の中心。年貢を納める。村の運営に参加。水呑百姓(土地なし)と区別。,土地所有|年貢納入|村運営|水呑と区別,歴史-近世,制度概念,,2
株仲間,かぶなかま,商工業者の組合,株仲間は商工業者の組合。江戸時代。営業独占権。幕府公認。運上金・冥加金を納める。物価統制。田沼意次が奨励。水野忠邦が解散。,商工組合|独占権|幕府公認|田沼奨励,歴史-近世,制度概念,,2
五人組,ごにんぐみ,農民の相互監視組織,五人組は農民5戸を単位とする相互監視組織。年貢納入・犯罪防止を連帯責任。キリシタン摘発。村請制度の基礎。,5戸単位|連帯責任|年貢キリシタン|村請,歴史-近世,制度概念,,2
村請制度,むらうけせいど,村単位で年貢を納める制度,村請制度は村単位で年貢を納める制度。村全体で連帯責任。本百姓が中心。名主・組頭・百姓代が運営(村方三役)。,村単位|連帯責任|本百姓|村方三役,歴史-近世,制度概念,,2
検地,けんち,土地調査,検地は土地の面積・等級・所有者を調査すること。太閤検地(豊臣秀吉)が有名。石高で表示。年貢徴収の基礎。一地一作人の原則。,土地調査|太閤検地|石高|一地一作人,歴史-近世,制度概念,,2
石高制,こくだかせい,石高を基準とする制度,石高制は土地の生産力を石高(米の収穫量)で表す制度。太閤検地で確立。大名の格式・武士の給与も石高で決まる。,米収穫量|太閤検地|大名格式|武士給与,歴史-近世,制度概念,,2
年貢,ねんぐ,農民が納める税,年貢は農民が納める税。米で納める(本年貢)。収穫の約40%(四公六民)が目安。検見法・定免法。百姓一揆の原因。,米税|約40%|四公六民|一揆原因,歴史-近世,制度概念,,2
百姓一揆,ひゃくしょういっき,農民の抵抗運動,百姓一揆は農民の抵抗運動。年貢減免・悪政の改善を要求。江戸時代に3000件以上。打ちこわし。指導者は処罰されるリスク。,農民抵抗|年貢減免|3000件|打ちこわし,歴史-近世,,1|2|3
打ちこわし,うちこわし,民衆の暴動,打ちこわしは民衆が富裕な商人の家を襲撃する暴動。米不足・物価高騰が原因。江戸時代後期に頻発。天保の大飢饉後の大塩の乱が有名。,民衆暴動|商人襲撃|米不足物価高|大塩,歴史-近世,出来事,,2
大塩の乱,おおしおのらん,1837年の反乱,大塩の乱は1837年の反乱。大塩平八郎が大坂で蜂起。天保の大飢饉で困窮した民衆を救おうとした。幕府に鎮圧される。幕府の権威失墜。,1837年|大塩平八郎|天保飢饉|大坂蜂起,歴史-近世,出来事,,2
大塩平八郎,おおしおへいはちろう,大塩の乱の指導者,大塩平八郎は大塩の乱の指導者。元大坂町奉行所の役人。陽明学者。天保の大飢饉で困窮した民衆を救うため蜂起。鎮圧後自決。,元役人|陽明学者|民衆救済|蜂起自決,歴史-近世,人物名,,2
蘭学,らんがく,オランダ語で学ぶ西洋学問,蘭学はオランダ語で学ぶ西洋学問。医学・天文学・地理学など。杉田玄白・前野良沢が『解体新書』翻訳。緒方洪庵が適塾を開く。開国の基礎。,オランダ語|西洋学問|解体新書|適塾,歴史-近世,その他,,2
杉田玄白,すぎたげんぱく,解体新書の翻訳者,杉田玄白は解体新書の翻訳者。蘭学者・医師。前野良沢とともにオランダの医学書を翻訳(1774年)。蘭学の発展に貢献。『蘭学事始』を著す。,解体新書1774|蘭学者医師|前野良沢|蘭学事始,歴史-近世,人物名,,2
前野良沢,まえのりょうたく,解体新書の翻訳者,前野良沢は解体新書の翻訳者。蘭学者。杉田玄白とともに翻訳。オランダ語の正確な理解を重視。名前は奥付に載らず。蘭学の基礎を築く。,解体新書|蘭学者|杉田玄白|名前なし,歴史-近世,人物名,,2
解体新書,かいたいしんしょ,日本初の西洋医学書,解体新書は日本初の本格的な翻訳西洋医学書。1774年刊行。杉田玄白・前野良沢らが翻訳。オランダの解剖学書『ターヘル・アナトミア』。蘭学の発展。,1774年|翻訳医学書|杉田前野|蘭学発展,歴史-近世,その他,,2
伊能忠敬,いのうただたか,日本地図を作成した人物,伊能忠敬は日本地図を作成した人物。50歳で測量を学ぶ。17年かけて日本全国を測量(1800-1816)。『大日本沿海輿地全図』完成。正確な地図。,日本地図|50歳測量|17年|1800-1816,歴史-近世,人物名,,2
平賀源内,ひらがげんない,江戸時代の発明家,平賀源内は江戸時代の発明家・蘭学者。エレキテル(静電気発生装置)を復元。鉱山開発・陶器製作。「土用の丑の日にうなぎ」の発案者とされる。,発明家蘭学|エレキテル|鉱山陶器|うなぎ,歴史-近世,人物名,,2
国学,こくがく,日本古典を研究する学問,国学は日本の古典(古事記・万葉集など)を研究する学問。本居宣長が大成。日本固有の精神を探求。尊王攘夷思想に影響。,日本古典|本居宣長|固有精神|尊王攘夷,歴史-近世,その他,,2
本居宣長,もとおりのりなが,国学の大成者,本居宣長は国学の大成者。『古事記伝』を著す(35年かけて完成)。日本古来の精神「もののあはれ」を重視。尊王思想。,古事記伝|35年|もののあはれ|尊王,歴史-近世,人物名,,2
寺子屋,てらこや,江戸時代の庶民の学校,寺子屋は江戸時代の庶民(町人・農民)の子どもの学校。読み・書き・そろばん(算盤)を教える。師匠は僧侶・浪人など。識字率向上。,庶民学校|読書算盤|僧侶浪人|識字率,歴史-近世,その他,,2
石器時代,せっきじだい,石器を使った時代,石器時代は石器を使った時代。旧石器時代と新石器時代に分かれる。狩猟・採集生活。約260万年前から紀元前3000年頃まで。人類最古の時代。,旧石器新石器|狩猟採集|260万年前|最古,歴史-古代,出来事,,1
旧石器時代,きゅうせっきじだい,打製石器を使った時代,旧石器時代は打製石器を使った時代。約260万年前から1万年前。狩猟・採集。移動生活。岩宿遺跡(群馬県)で発見。,打製石器|260万年前|狩猟採集|岩宿,歴史-古代,出来事,,1
新石器時代,しんせっきじだい,磨製石器を使った時代,新石器時代は磨製石器を使った時代。約1万年前から。農耕・牧畜開始。定住生活。土器の使用。文明の基礎。,磨製石器|1万年前|農耕牧畜|定住,歴史-古代,出来事,,1
縄文時代,じょうもんじだい,縄文土器を使った時代,縄文時代は縄文土器を使った時代。約1万6000年前から紀元前3世紀頃。狩猟・採集・漁労。竪穴住居。三内丸山遺跡。,縄文土器|16000年前|狩猟採集|三内丸山,歴史-古代,,1|2|3
弥生時代,やよいじだい,弥生土器を使った時代,弥生時代は弥生土器を使った時代。紀元前3世紀から3世紀頃。稲作伝来。金属器(青銅器・鉄器)。吉野ヶ里遺跡。クニの形成。,弥生土器|BC3-AD3世紀|稲作|吉野ヶ里,歴史-古代,出来事,,1
古墳時代,こふんじだい,古墳が作られた時代,古墳時代は古墳が作られた時代。3世紀後半から7世紀。大和政権(ヤマト王権)。前方後円墳。大仙陵古墳(仁徳天皇陵)。埴輪。,古墳|3-7世紀|大和政権|前方後円墳,歴史-古代,出来事,,1
三内丸山遺跡,さんないまるやまいせき,青森県の縄文遺跡,三内丸山遺跡は青森県の縄文時代の大規模集落遺跡。約5500年前から4000年前。大型掘立柱建物。縄文文化の高度さを示す。,青森|5500年前|大型建物|縄文文化,,1|2|3
吉野ヶ里遺跡,よしのがりいせき,佐賀県の弥生遺跡,吉野ヶ里遺跡は佐賀県の弥生時代の大規模環濠集落遺跡。紀元前3世紀から3世紀。物見櫓・濠。クニの存在を示す。邪馬台国論争。,佐賀|環濠集落|物見櫓|邪馬台国,歴史-古代,その他,,1
大仙陵古墳,だいせんりょうこふん,世界最大級の古墳,大仙陵古墳は大阪府堺市の前方後円墳。仁徳天皇陵とされる。全長約486m。世界最大級の墳墓。5世紀前半。世界遺産。,堺市|486m|仁徳天皇|世界遺産,歴史-古代,その他,,1
埴輪,はにわ,古墳に並べた土製品,埴輪は古墳に並べた土製品。人物・動物・器物の形。古墳の装飾・祭祀。当時の生活・服装がわかる。円筒埴輪・形象埴輪。,古墳土製品|人物動物|祭祀装飾|円筒形象,歴史-古代,その他,,1
邪馬台国,やまたいこく,女王卑弥呼が治めた国,邪馬台国は3世紀に女王卑弥呼が治めた国。『魏志倭人伝』に記録。場所は九州説と畿内説。魏に使いを送った。,3世紀|卑弥呼|魏志倭人伝|九州畿内,歴史-古代,その他,,1
卑弥呼,ひみこ,邪馬台国の女王,卑弥呼は邪馬台国の女王。3世紀。『魏志倭人伝』に記録。鬼道で政治。魏に使いを送り、「親魏倭王」の称号。謎の多い人物。,邪馬台国|3世紀|鬼道|親魏倭王,歴史-古代,人物名,,1
大和政権,やまとせいけん,古墳時代の政権,大和政権(ヤマト王権)は古墳時代に奈良盆地を中心に成立した政権。大王(後の天皇)を中心。豪族の連合。前方後円墳を築く。,古墳時代|奈良盆地|大王|豪族連合,歴史-古代,その他,,1
氏姓制度,しせいせいど,古代の身分制度,氏姓制度は古代の身分制度。氏(ウジ)と姓(カバネ)。氏は血縁集団、姓は朝廷から与えられた称号(臣・連・君など)。豪族の地位を示す。,氏と姓|血縁集団|臣連君|豪族地位,歴史-古代,制度概念,,1
聖徳太子,しょうとくたいし,飛鳥時代の摂政,聖徳太子は飛鳥時代の摂政。推古天皇を補佐。十七条憲法制定。冠位十二階制定。遣隋使派遣(小野妹子)。法隆寺建立。,推古摂政|十七条憲法|冠位十二階|遣隋使,歴史-古代,人物名,,1
推古天皇,すいこてんのう,初の女性天皇,推古天皇は日本初の女性天皇。飛鳥時代。聖徳太子が摂政として補佐。592年即位。蘇我馬子とともに政治。,初女性天皇|592年|聖徳太子摂政|蘇我馬子,歴史-古代,人物名,,1
蘇我馬子,そがのうまこ,飛鳥時代の有力豪族,蘇我馬子は飛鳥時代の有力豪族。推古天皇・聖徳太子とともに政治。仏教を保護。物部氏を滅ぼす。法興寺(飛鳥寺)建立。,有力豪族|仏教保護|物部滅亡|飛鳥寺,歴史-古代,人物名,,1
蘇我入鹿,そがのいるか,大化の改新で滅ぼされた人物,蘇我入鹿は蘇我氏の全盛期の人物。専横な政治。645年に中大兄皇子・中臣鎌足に暗殺される(乙巳の変)。大化の改新のきっかけ。,蘇我氏|645年暗殺|乙巳の変|大化改新,歴史-古代,人物名,,1
中大兄皇子,なかのおおえのおうじ,大化の改新の中心人物,中大兄皇子は大化の改新の中心人物。後の天智天皇。中臣鎌足とともに蘇我入鹿を討つ。白村江の戦いで敗れる。近江大津宮に遷都。,天智天皇|蘇我討伐|白村江|近江,歴史-古代,人物名,,1
中臣鎌足,なかとみのかまたり,大化の改新の功労者,中臣鎌足は大化の改新の功労者。中大兄皇子とともに蘇我入鹿を討つ。藤原氏の祖。死の直前に藤原姓を賜る。,大化改新|蘇我討伐|藤原氏祖|藤原姓,歴史-古代,人物名,,1
大化の改新,たいかのかいしん,645年の政治改革,大化の改新は645年の政治改革。中大兄皇子・中臣鎌足が蘇我入鹿を討つ(乙巳の変)。公地公民・班田収授法。中央集権化。,645年|蘇我討伐|公地公民|中央集権,歴史-古代,出来事,,1
乙巳の変,いっしのへん,645年のクーデター,乙巳の変は645年に中大兄皇子・中臣鎌足が蘇我入鹿を暗殺した事件。大化の改新の始まり。蘇我氏の専横を打破。,645年|入鹿暗殺|大化改新|蘇我打破,歴史-古代,出来事,,1
公地公民,こうちこうみん,土地と人民は天皇のもの,公地公民は土地と人民はすべて天皇(公)のものとする原則。大化の改新で宣言。私有地・私有民を廃止。律令制度の基礎。,天皇のもの|大化改新|私有廃止|律令基礎,歴史-古代,制度概念,,1
班田収授法,はんでんしゅうじゅほう,口分田を与える制度,班田収授法は6歳以上の人民に口分田を与える制度。大化の改新。死後は国に返す(公地公民)。律令制度。,口分田|6歳以上|死後返却|律令,歴史-古代,制度概念,,1
律令制度,りつりょうせいど,律令に基づく制度,律令制度は律令(律は刑法、令は行政法)に基づく制度。唐を手本。中央集権。大宝律令(701年)・養老律令(718年)。,律刑法令行政|唐手本|中央集権|大宝養老,歴史-古代,制度概念,,1
大宝律令,たいほうりつりょう,701年の律令,大宝律令は701年に制定された日本初の本格的律令。藤原不比等らが編纂。律令国家の法体系。養老律令に引き継がれる。,701年|初本格|藤原不比等|法体系,歴史-古代,制度概念,,1
養老律令,ようろうりつりょう,718年の律令,養老律令は718年に制定された律令。藤原不比等が編纂。大宝律令を修正。757年施行。律令制度の完成。,718年|藤原不比等|大宝修正|完成,歴史-古代,制度概念,,1
租庸調,そようちょう,律令時代の税,租庸調は律令時代の税。租は稲(収穫の約3%)、庸は労役の代わりの布、調は地方特産物。重い負担。人民の苦しみ。,律令税|稲布特産物|約3%|重負担,歴史-古代,制度概念,,1
防人,さきもり,九州北部の兵士,防人は九州北部の警備に当たった兵士。東国の農民が徴発された。3年間の任期。往復の費用も自己負担。『万葉集』に歌が残る。,九州警備|東国農民|3年|万葉集,歴史-古代,その他,,1
白村江の戦い,はくすきのえのたたかい,663年の敗戦,白村江の戦いは663年の戦い。日本・百済連合軍が唐・新羅連合軍に敗れる。朝鮮半島から撤退。大宰府に水城・防人を配置。,663年|百済支援|唐新羅|敗戦,歴史-古代,出来事,,1
壬申の乱,じんしんのらん,672年の皇位継承戦争,壬申の乱は672年の皇位継承戦争。大海人皇子が大友皇子を破る。大海人皇子が天武天皇に即位。古代最大の内乱。,672年|皇位継承|大海人勝利|天武天皇,歴史-古代,出来事,,1
天武天皇,てんむてんのう,壬申の乱の勝者,天武天皇は壬申の乱の勝者(大海人皇子)。672年即位。天皇中心の政治強化。『古事記』『日本書紀』編纂を命じる。,壬申勝者|672年|天皇中心|古事記日本書紀,歴史-古代,人物名,,1
持統天皇,じとうてんのう,藤原京に遷都した女性天皇,持統天皇は天武天皇の后。694年に藤原京に遷都。律令制度整備。万葉集に多くの歌。女性天皇。,天武后|694年藤原京|律令整備|女性天皇,歴史-古代,人物名,,1
